username, created_at, lng, lat, text
Dragon_Man_Inc, Tue Apr 21 03:32:57 +0000 2020, -76.686510, 39.281900, It's Massive Curves Monday with ravieloso   #massivecurvesmonday #curves #thickness #curvy #sexy #thickthighs… https://t.co/50IzmjFGoj 
lifeofahooey, Tue Apr 21 03:32:57 +0000 2020, -78.159937, 43.901257, This is Christmas season is so far away but it’s going to be such a blessed &amp; special season. I can feel it. 😍 
you72514463, Tue Apr 21 03:32:57 +0000 2020, -97.432425, 27.737151, @ctfromshawnee Yes Sir, had a Zoom meeting with past psychiatrists I’ve worked with in the past. Clients are not do… https://t.co/MabDqZCNab 
test5geo1798, Tue Apr 21 03:32:57 +0000 2020, -118.411907, 34.020789, TEST_GEO_Hierarchy: 56f6dc78-16eb-41e1-bc6f-fb4e9b659f14 
test5geo1798, Tue Apr 21 03:32:57 +0000 2020, -119.306608, 37.269176, TEST_GEO_Hierarchy: 3ba7c824-b715-47dd-89fd-4fc6202d41c1 
lauralugrassi, Tue Apr 21 03:32:57 +0000 2020, -83.243100, 42.661800, Hey @davidhaydnjones I just wanted to remind you how special you are to us. When god created you he must have taken… https://t.co/k8rwlGv6Ui 
lynnhailey1, Tue Apr 21 03:32:57 +0000 2020, -84.539813, 39.137038, @RadioFreeTom Default  to immigration 
NikRichard, Tue Apr 21 03:32:57 +0000 2020, -90.011008, 29.982601, It just hit me Dre must have heard his voice on Teddy’s live and called him quick to cut it off 😂. It was clear he wasn’t rocking with it. 
Ericito__, Tue Apr 21 03:32:57 +0000 2020, -118.125196, 34.583629, @Fbravo2001Frank let’s hope 
blamellors, Tue Apr 21 03:32:57 +0000 2020, -76.746638, 38.963783, @jaredlholt That’s his target audience . The actual effect of a ban is negligible since nobody’s traveling. That’s… https://t.co/hsq2r7lTbZ 
valvalcute, Tue Apr 21 03:32:57 +0000 2020, -74.184848, 40.734494, #FechadoComBolsonaro 
JohannPeters1, Tue Apr 21 03:32:57 +0000 2020, -122.959456, 46.174726, @sebastianbach @GinoVOfficial I just wanna stop is an indelible classic. 
T0K0_0N0, Tue Apr 21 03:32:58 +0000 2020, -83.148043, 42.579003, Lowkey judging the fuck out of everyone posting their 4 fav albums on insta 
JNeiswender_TMS, Tue Apr 21 03:32:58 +0000 2020, -97.285913, 32.779967, @1HillaryRobbins @ScienceSanders @1274Jillian @Catlin_Tucker Love her and that book! 
Nick_Curcio247, Tue Apr 21 03:32:58 +0000 2020, -79.861034, 35.170499, @HamEggsnSam Good times 😒 
itsdeucee2, Tue Apr 21 03:32:58 +0000 2020, -81.283121, 28.784184, @chrisbrown boy you did what you had to on overtime you really did https://t.co/rZrc1Wv7gm 
hayleyocho, Tue Apr 21 03:32:58 +0000 2020, -95.913642, 36.109392, @KendraJank happy birthday! 
smartgirls4gop, Tue Apr 21 03:32:58 +0000 2020, -118.156711, 33.809172, Joe Biden. https://t.co/TGiCLaa4i6 
localJedi, Tue Apr 21 03:32:58 +0000 2020, -97.079654, 32.931834, @Adam_C_Williams thx bro!! 
eric_crocker, Tue Apr 21 03:32:58 +0000 2020, -119.306608, 37.269176, @grantcohn Lmao 
lastStrachan, Tue Apr 21 03:32:58 +0000 2020, -76.593943, 24.074967, @diandrajuania Yes yes 😌 
t_hicksnelson, Tue Apr 21 03:32:58 +0000 2020, -76.949078, 39.054680, Can you hear it?!? Calculators. Calculators everywhere. 
GuyKawasaki, Tue Apr 21 03:32:58 +0000 2020, -122.163594, 37.448549, @Aetnerd Would you want Donald Trump leading your kid’s troop on a hike? 
OscarM89, Tue Apr 21 03:32:58 +0000 2020, -118.411907, 34.020789, Yay?? 
